learning_rate,best_threshold,threshold_accuracy,threshold_precision,threshold_recall,threshold_macro_f1,threshold_weighted_f1
2e-05,0.45,0.89,0.9957627118644068,0.7833333333333333,0.8887340406401727,0.8887340406401726
3e-05,0.45,0.89,0.9795081967213115,0.7966666666666666,0.8890333572453372,0.8890333572453373
