language,language_name,accuracy,precision,recall,macro_f1,weighted_f1,support
afr,Afrikaans,0.7125,1.0,0.425,0.6865951285981945,0.6865951285981945,80
eng,English,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,80
zul,isiZulu,0.7625,1.0,0.525,0.7483026991223712,0.7483026991223712,80
