protocol,trained_on,evaluated_on,transfer,accuracy,precision,recall,macro_f1,weighted_f1
leave-one-out,eng+zul,afr,zero-shot,0.5,0.0,0.0,0.3333333333333333,0.33333333333333326
leave-one-out,afr+zul,eng,zero-shot,0.5,0.0,0.0,0.3333333333333333,0.33333333333333326
leave-one-out,afr+eng,zul,zero-shot,0.495,0.0,0.0,0.3311036789297659,0.3311036789297659
